movie ID,genre ID
1,2
1,3
1,4
1,5
1,9
2,2
2,4
2,9
3,5
3,14
4,5
4,8
4,14
5,5
6,1
6,6
6,16
7,5
7,14
8,2
8,4
9,1
10,1
10,2
10,16
11,5
11,8
11,14
12,5
12,11
13,2
13,3
13,4
14,8
15,1
15,2
15,14
16,6
16,8
17,8
17,14
18,5
19,5
20,1
20,5
20,6
20,8
20,16
21,5
21,6
21,16
22,6
22,8
22,11
22,13
22,16
23,1
23,6
23,16
24,8
24,15
25,8
25,14
26,8
27,4
27,8
28,8
28,14
29,2
29,8
29,9
29,13
29,15
30,6
30,8
31,8
32,13
32,15
32,16
34,4
34,8
36,6
36,8
38,4
38,5
39,5
39,14
40,8
41,8
41,17
42,1
42,6
42,8
43,8
44,1
44,2
44,9
45,5
45,8
45,16
46,8
46,14
47,13
47,16
48,3
48,4
48,8
48,12
48,14
49,8
49,14
50,6
50,13
50,16
52,5
52,8
52,14
53,2
53,8
54,4
54,5
55,8
57,8
58,5
58,8
58,14
60,2
60,4
60,9
61,8
61,16
62,8
63,5
63,6
64,5
64,14
65,5
66,1
66,15
66,16
68,5
68,14
69,5
70,1
70,5
70,11
70,16
71,1
72,5
72,8
73,8
73,17
74,8
74,14
75,5
75,8
76,1
76,15
76,16
77,7
78,1
78,6
78,8
78,16
79,8
79,16
80,4
80,8
81,6
81,8
81,14
82,5
82,8
83,8
83,14
85,8
85,14
86,1
86,2
86,8
87,4
87,5
88,5
89,1
89,16
92,8
92,11
92,16
93,5
93,11
93,14
94,5
94,8
94,14
95,1
95,2
95,16
96,5
96,8
97,6
97,8
99,7
100,8
100,16
101,2
101,5
101,6
101,14
102,5
103,13
103,15
103,16
104,5
105,8
105,14
106,5
106,8
107,2
107,4
107,5
107,12
108,7
110,1
110,8
110,17
111,6
111,8
111,16
112,1
112,2
112,5
112,6
113,8
113,13
116,7
117,6
117,8
118,5
118,14
119,5
121,8
122,5
122,14
123,8
123,13
123,14
125,5
126,2
126,4
126,9
128,7
129,5
129,14
132,16
135,5
137,7
140,8
140,14
141,5
144,5
145,1
145,5
145,6
145,8
145,16
146,2
146,4
147,8
148,8
149,6
149,8
149,16
150,2
150,8
151,1
151,8
151,14
151,17
152,8
152,11
153,1
153,2
153,5
153,6
154,8
155,2
155,8
155,17
156,5
156,8
157,5
157,17
158,2
158,4
159,6
159,8
159,13
160,1
160,2
160,13
160,15
161,8
161,16
161,17
162,7
163,1
163,14
163,18
164,6
164,10
164,13
164,16
165,1
165,6
165,16
166,5
166,6
166,8
168,1
168,8
168,14
169,2
169,4
169,8
170,1
170,2
170,6
170,16
171,5
171,8
172,1
172,15
172,16
173,1
173,6
173,15
174,5
175,8
176,5
177,11
178,5
178,8
179,8
179,14
180,5
180,14
181,1
181,4
183,5
183,11
183,16
184,8
185,1
185,6
185,16
186,5
186,14
187,5
188,9
188,11
188,13
189,5
189,9
190,16
191,8
191,14
193,8
194,5
194,8
195,5
195,8
195,14
196,11
196,15
198,1
198,6
198,8
198,13
198,15
198,16
199,8
199,12
199,14
201,8
201,9
202,8
202,14
203,5
204,1
205,5
205,8
206,7
207,8
207,14
208,1
208,2
208,15
209,8
210,18
211,8
212,2
212,5
212,6
212,13
213,8
214,8
214,17
215,8
215,14
216,5
217,8
217,16
218,5
218,8
219,8
220,11
222,8
222,14
223,5
224,5
224,8
224,14
225,8
225,16
227,1
227,16
228,5
229,8
229,16
230,8
230,16
231,2
231,5
232,5
