,movie ID,genre name
0,0,Adventure
0,0,Animation
0,0,Comedy
0,0,Fantasy
0,1,Adventure
0,1,Fantasy
0,2,Comedy
0,2,Romance
0,3,Comedy
0,3,Drama
0,3,Romance
0,4,Comedy
0,5,Action
0,5,Crime
0,5,Thriller
0,6,Comedy
0,6,Romance
0,7,Adventure
0,8,Action
0,9,Action
0,9,Adventure
0,9,Thriller
0,10,Comedy
0,10,Drama
0,10,Romance
0,11,Comedy
0,11,Horror
0,12,Adventure
0,12,Animation
0,13,Drama
0,14,Action
0,14,Adventure
0,14,Romance
0,15,Crime
0,15,Drama
0,16,Drama
0,16,Romance
0,17,Comedy
0,18,Comedy
0,19,Action
0,19,Comedy
0,19,Crime
0,19,Drama
0,19,Thriller
0,20,Comedy
0,20,Crime
0,20,Thriller
0,21,Crime
0,21,Drama
0,21,Horror
0,21,Mystery
0,21,Thriller
0,22,Action
0,22,Crime
0,22,Thriller
0,23,Drama
0,23,Sci-Fi
0,24,Drama
0,24,Romance
0,25,Drama
0,26,Drama
0,27,Drama
0,27,Romance
0,28,Adventure
0,28,Drama
0,28,Fantasy
0,28,Mystery
0,28,Sci-Fi
0,29,Crime
0,29,Drama
0,30,Drama
0,31,Mystery
0,31,Sci-Fi
0,31,Thriller
0,32,Drama
0,33,Crime
0,33,Drama
0,34,Comedy
0,35,Comedy
0,35,Romance
0,36,Drama
0,37,Drama
0,37,War
0,38,Action
0,38,Crime
0,38,Drama
0,39,Drama
0,40,Action
0,40,Adventure
0,40,Fantasy
0,41,Comedy
0,41,Drama
0,41,Thriller
0,42,Drama
0,42,Romance
0,43,Mystery
0,43,Thriller
0,44,Animation
0,44,Drama
0,44,Musical
0,44,Romance
0,45,Drama
0,45,Romance
0,46,Crime
0,46,Mystery
0,46,Thriller
0,47,Comedy
0,47,Drama
0,47,Romance
0,48,Adventure
0,48,Drama
0,49,Comedy
0,50,Drama
0,51,Drama
0,52,Comedy
0,52,Drama
0,52,Romance
0,53,Adventure
0,53,Fantasy
0,54,Drama
0,54,Thriller
0,55,Drama
0,56,Comedy
0,56,Crime
0,57,Comedy
0,57,Romance
0,58,Comedy
0,59,Action
0,59,Sci-Fi
0,59,Thriller
0,60,Comedy
0,60,Romance
0,61,Comedy
0,62,Action
0,62,Comedy
0,62,Horror
0,62,Thriller
0,63,Action
0,64,Comedy
0,64,Drama
0,65,Drama
0,65,War
0,66,Drama
0,66,Romance
0,67,Comedy
0,67,Drama
0,68,Action
0,68,Sci-Fi
0,68,Thriller
0,69,Documentary
0,70,Action
0,70,Crime
0,70,Drama
0,70,Thriller
0,71,Drama
0,71,Thriller
0,72,Drama
0,73,Crime
0,73,Drama
0,73,Romance
0,74,Comedy
0,74,Drama
0,75,Drama
0,75,Romance
0,76,Drama
0,76,Romance
0,77,Action
0,77,Adventure
0,77,Drama
0,78,Comedy
0,79,Comedy
0,80,Action
0,80,Thriller
0,81,Drama
0,81,Horror
0,81,Thriller
0,82,Comedy
0,82,Horror
0,82,Romance
0,83,Comedy
0,83,Drama
0,83,Romance
0,84,Action
0,84,Adventure
0,84,Thriller
0,85,Comedy
0,85,Drama
0,86,Crime
0,86,Drama
0,87,Documentary
0,88,Drama
0,88,Thriller
0,89,Adventure
0,89,Comedy
0,89,Crime
0,89,Romance
0,90,Comedy
0,91,Mystery
0,91,Sci-Fi
0,91,Thriller
0,92,Comedy
0,93,Drama
0,93,Romance
0,94,Comedy
0,94,Drama
0,95,Adventure
0,95,Comedy
0,95,Musical
0,96,Documentary
0,97,Action
0,97,Drama
0,97,War
0,98,Crime
0,98,Drama
0,98,Thriller
0,99,Action
0,99,Adventure
0,99,Comedy
0,99,Crime
0,100,Drama
0,100,Mystery
0,101,Documentary
0,102,Crime
0,102,Drama
0,103,Comedy
0,103,Romance
0,104,Comedy
0,105,Drama
0,106,Comedy
0,106,Romance
0,107,Drama
0,107,Mystery
0,107,Romance
0,108,Comedy
0,109,Adventure
0,109,Fantasy
0,110,Documentary
0,111,Comedy
0,111,Romance
0,112,Thriller
0,113,Comedy
0,114,Documentary
0,115,Drama
0,115,Romance
0,116,Comedy
0,117,Comedy
0,118,Action
0,118,Comedy
0,118,Crime
0,118,Drama
0,118,Thriller
0,119,Adventure
0,120,Drama
0,121,Drama
0,122,Crime
0,122,Drama
0,122,Thriller
0,123,Adventure
0,123,Drama
0,124,Action
0,124,Drama
0,124,Romance
0,124,War
0,125,Drama
0,125,Horror
0,126,Action
0,126,Adventure
0,126,Comedy
0,126,Crime
0,127,Drama
0,128,Adventure
0,128,Drama
0,128,War
0,129,Comedy
0,129,Drama
0,130,Comedy
0,130,War
0,131,Adventure
0,132,Crime
0,132,Drama
0,132,Mystery
0,133,Action
0,133,Adventure
0,133,Mystery
0,133,Sci-Fi
0,134,Drama
0,134,Thriller
0,134,War
0,135,Documentary
0,136,Action
0,136,Romance
0,136,Western
0,137,Crime
0,137,Film-Noir
0,137,Mystery
0,137,Thriller
0,138,Action
0,138,Crime
0,138,Thriller
0,139,Comedy
0,139,Crime
0,139,Drama
0,140,Action
0,140,Drama
0,140,Romance
0,141,Adventure
0,141,Drama
0,142,Action
0,142,Adventure
0,142,Crime
0,142,Thriller
0,143,Comedy
0,143,Drama
0,144,Action
0,144,Sci-Fi
0,144,Thriller
0,145,Action
0,145,Crime
0,145,Sci-Fi
0,146,Comedy
0,147,Drama
0,148,Comedy
0,149,Horror
0,150,Comedy
0,150,Drama
0,151,Drama
0,151,Romance
0,152,Comedy
0,152,Romance
0,153,Action
0,154,Comedy
0,154,Horror
0,154,Thriller
0,155,Drama
0,156,Action
0,156,Crime
0,156,Thriller
0,157,Comedy
0,157,Romance
0,158,Comedy
0,159,Fantasy
0,159,Horror
0,159,Mystery
0,160,Comedy
0,160,Fantasy
0,161,Thriller
0,162,Drama
0,162,Romance
0,163,Drama
0,164,Comedy
0,164,Drama
0,165,Comedy
0,165,Drama
0,165,Romance
0,166,Horror
0,166,Sci-Fi
0,167,Action
0,167,Crime
0,167,Drama
0,167,Mystery
0,167,Sci-Fi
0,167,Thriller
0,168,Drama
0,168,Musical
0,168,Romance
0,169,Drama
0,169,Fantasy
0,170,Drama
0,170,Romance
0,171,Comedy
0,172,Action
0,173,Comedy
0,173,Drama
0,174,Documentary
0,175,Drama
0,175,Romance
0,176,Action
0,176,Adventure
0,176,Sci-Fi
0,177,Drama
0,178,Western
0,179,Drama
0,180,Adventure
0,180,Comedy
0,180,Crime
0,180,Mystery
0,181,Drama
0,182,Drama
0,182,War
0,183,Drama
0,183,Romance
0,184,Comedy
0,185,Drama
0,185,Thriller
0,186,Comedy
0,186,Drama
0,187,Drama
0,188,Horror
0,189,Drama
0,189,Romance
0,190,Comedy
0,191,Comedy
0,191,Drama
0,191,Romance
0,192,Drama
0,192,Thriller
0,193,Action
0,193,Thriller
0,194,Comedy
0,195,Drama
0,195,Thriller
